domain,question,answer
new_developments,New national park?,Location: Gishwati-Mukura designated as 4th national park in 2020. Details: Gishwati-Mukura designated as 4th national park in 2020. (2025 info)
seasonal,Can you tell me best time to visit volcanoes np?,Location: Dry seasons (Jun-Sep & Dec-Feb) for easier hiking. Details: Dry seasons (Jun-Sep & Dec-Feb) for easier hiking. (2025 info)
accommodation,Can you tell me hostels near bus stations?,Location: Okapi Hotel is 5min from Nyabugogo Bus Park. Details: Okapi Hotel is 5min from Nyabugogo Bus Park.
history,Can you tell me where would i find traditional courts?,Gacaca courts tried genocide cases 2001-2012. (2025 info)
seasonal,Can you tell me best rainy season activity in kigali?,"In Rwanda, museum visits in kigali or hot springs at lake kivu. (2025 info)"
new_developments,What is Kigali Innovation City in Kigali in Kigali?,"Tech hub under construction in Gasaro, will host Carnegie Mellon Africa. (2025 info)"
healthcare,Where would I find where to get covid vaccine?,"In Rwanda, all district hospitals and health centers. (2025 info)"
language,Where would I find hello in kinyarwanda in Rwanda?,"In Rwanda, muraho (formal) or bite (informal)."
history,Where would I find how has rwanda achieved reconciliation?,"Through Gacaca courts, unity policies, and community initiatives. (2025 info)"
services,Where would I find where to recycle in Kigali?,COPED in Nyarugenge takes plastics and electronics. (2025 info) (2025 info)
transport,Can you tell me can you tell me how to use tap&go?,"Location: Buy card at stations, load money for bus fares. Details: Buy card at stations, load money for bus fares."
history,Oldest building?,Location: Kandt House Museum (1907) in Kigali. Details: Kandt House Museum (1907) in Kigali.
history,Where would I find independence date in Kigali?,"Location: July 1, 1962 from Belgium. Details: July 1, 1962 from Belgium."
business,Can you tell me can you tell me top local companies?,"In Rwanda, location: mtn rwanda, bralirwa, and crystal ventures ltd. details: mtn rwanda, bralirwa, and crystal ventures ltd."
language,Where would I find can you tell me goodbye?,"In Rwanda, murabeho (formal) or reka (informal)."
history,Can you tell me ancient rwandan currency?,"In Rwanda, used barter system; later cowrie shells and hoes. (2025 info)"
services,Where would I find tourist police in rwanda?,"In Rwanda, call 112 or visit nearest tourism office."
accommodation,Where would I find hotels with pools?,"In Rwanda, radisson blu and serena both have outdoor pools. (2025 info)"
sports,Can you tell me football academies in kigali?,"In Rwanda, apr fc academy trains youth players."
language,Where would I find where would i find please?,"In Rwanda, in rwanda, nyamuneka."
new_developments,Where would I find recent infrastructure project?,Location: Kigali Central Station modernized in 2025. Details: Kigali Central Station modernized in 2025.
transport,Kigali airport to city in Kigali?,"In Rwanda, taxi costs ~10,000 rwf (20min), no uber available."
services,Can you tell me international shipping in Rwanda?,"In Rwanda, location: dhl has office in kigali city tower. details: dhl has office in kigali city tower."
education,Scholarships for Rwandan students?,Mastercard Foundation Scholars Program at UR and Kepler.
services,Can you tell me lost property?,"In Rwanda, check with local authorities or establishment last visited. (2025 info)"
tourism,Where would I find entry fee for volcanoes national park?,"In Rwanda, $100 for foreigners, 15,000 rwf for rwandans (2025 rates)."
healthcare,Dental clinics in Kigali?,Kigali Dental Clinic in Kimihurura is recommended.
sports,Can you tell me marathons?,Location: Kigali International Peace Marathon every May. Details: Kigali International Peace Marathon every May.
education,Best coding bootcamp in Rwanda in Rwanda?,"In Rwanda, alx rwanda offers 12-month software engineering programs. (2025 info)"
language,Can you tell me thank you?,"In Rwanda, murakoze (singular) or murakoze cyane (many thanks)."
sports,Can you tell me running clubs?,"Location: In Rwanda, kigali running club meets saturdays at 6am in kimihurura. Details: In Rwanda, kigali running club meets saturdays at 6am in kimihurura."
history,Can you tell me can you tell me pre-colonial kingdoms?,Kingdom of Rwanda ruled from 15th century to 1961. (2025 info)
transport,Car rental companies?,"In Rwanda, europcar, avis and local companies like rwanda car rentals. (2025 info)"
tourism,Where would I find how long is gorilla trekking?,"In Rwanda, in rwanda, 2-8 hours depending on gorilla family location."
sports,Where would I find can you tell me golf courses?,"In Rwanda, kigali golf club (18 holes) and gorilla golf club in musanze."
language,Goodbye,Location: Murabeho (formal) or Reka (informal). Details: Murabeho (formal) or Reka (informal).
new_developments,Can you tell me can you tell me new national park?,"Location: In Rwanda, gishwati-mukura designated as 4th national park in 2020. Details: In Rwanda, gishwati-mukura designated as 4th national park in 2020."
healthcare,Can you tell me mental health services?,"In Rwanda, ndera neuropsychiatric hospital specializes in mental health."
services,Where would I find police stations?,"Location: Location: Each sector has one - main is in Remera, Kigali. Details: Location: Each sector has one - main is in Remera, Kigali. Details: Each sector has one - main is in Remera, Kigali."
healthcare,Can you tell me where would i find pediatric hospitals?,KFH and CHUK both have pediatric wings. (2025 info) (2025 info)
tourism,What's special about Nyungwe Forest in Rwanda?,Location: Home to chimpanzees and East Africa's only canopy walk (160m long). Details: Home to chimpanzees and East Africa's only canopy walk (160m long).
services,Can you tell me can you tell me where to pay bills?,"Location: At banks, online via Irembo, or mobile money. Details: At banks, online via Irembo, or mobile money."
seasonal,Where would I find nyungwe forest in april in Rwanda?,Lush but leeches present - wear leech socks.
education,Can you tell me top university in rwanda in kigali?,"Location: In Rwanda, university of rwanda is the largest and highest-ranked. Details: In Rwanda, university of rwanda is the largest and highest-ranked."
healthcare,Where to buy prescription drugs?,Pharmacies like KIM Pharmacy require doctor's prescription. (2025 info)
education,Where would I find where to study hospitality?,Location: Akilah Institute for Women offers diploma programs. Details: Akilah Institute for Women offers diploma programs.
seasonal,Can you tell me lake kivu best season in kigali?,Location: Location: June-August for calm waters and swimming. Details: Location: June-August for calm waters and swimming. Details: June-August for calm waters and swimming.
education,Can you tell me is education free in rwanda?,Location: Location: Primary education is free in public schools. Details: Location: Primary education is free in public schools. Details: Primary education is free in public schools.
accommodation,Can you tell me guesthouses in musanze?,Location: Location: Fatima Guesthouse and La Palme Hotel are popular. Details: Location: Fatima Guesthouse and La Palme Hotel are popular. Details: Fatima Guesthouse and La Palme Hotel are popular.
language,Where would I find how are you in rwanda?,"In Rwanda, amakuru? (response: ni meza)"
history,Can you tell me first president in kigali?,Location: Grégoire Kayibanda (1962-1973). Details: Grégoire Kayibanda (1962-1973). (2025 info)
new_developments,Where would I find recent sports facility?,"In Rwanda, nyamirambo stadium renovated in 2024 for wnba africa games. (2025 info)"
sports,Where would I find running clubs?,"In Rwanda, location: kigali running club meets saturdays at 6am in kimihurura. details: kigali running club meets saturdays at 6am in kimihurura."
hyperlocal,Can you tell me can you tell me where to buy fresh passion fruit?,Location: Early morning at Kimironko Market stalls. Details: Early morning at Kimironko Market stalls.
language,Can you tell me yes/no,Location: Yego/Oya. Details: Yego/Oya (2025 info)
hyperlocal,Where would I find where would i find best place for rwandan coffee?,Question Coffee Café in Kacyiru.
accommodation,Where would I find guesthouses in musanze?,Fatima Guesthouse and La Palme Hotel are popular. (2025 info)
new_developments,Can you tell me where would i find latest hotel opening?,"In Rwanda, radisson blu kigali convention center opened 2025. (2025 info)"
services,Can you tell me where to recycle in Rwanda?,"In Rwanda, coped in nyarugenge takes plastics and electronics."
seasonal,Where would I find best time to visit volcanoes np?,Dry seasons (Jun-Sep & Dec-Feb) for easier hiking. (2025 info)
new_developments,Can you tell me can you tell me newest museum in rwanda?,Location: Rwanda Art Museum relocated to former presidential palace in 2024. Details: Rwanda Art Museum relocated to former presidential palace in 2024. (2025 info)
new_developments,New university programs?,"In Rwanda, ur launched ai degree program in 2024. (2025 info)"
tourism,Can you tell me entry fee for volcanoes national park in Rwanda?,"In Rwanda, in rwanda, $100 for foreigners, 15,000 rwf for rwandans (2025 rates)."
accommodation,Where would I find airbnb availability?,"In Rwanda, yes, 300+ listings in kigali from $20/night."
new_developments,Where would I find new border crossing?,"In Rwanda, in rwanda, rusumo one-stop border post with tanzania opened 2023."
tourism,Can you tell me can you tell me how long is gorilla trekking?,2-8 hours depending on gorilla family location. (2025 info)
history,Can you tell me how long did the genocide last?,Approximately 100 days from April-July 1994.
education,Where would I find can you tell me where to study hospitality?,Akilah Institute for Women offers diploma programs. (2025 info)
seasonal,Umbrella or rain jacket?,"Location: In Rwanda, both - sudden downpours common in rainy season. Details: In Rwanda, both - sudden downpours common in rainy season."
new_developments,Can you tell me can you tell me latest hotel opening?,"In Rwanda, radisson blu kigali convention center opened 2025."
hyperlocal,Where would I find cheapest brochettes in kigali in Kigali?,Location: Brochetterie du Quartier in Kimironko (800 RWF). Details: Brochetterie du Quartier in Kimironko (800 RWF).
tourism,Can you tell me best hiking trail near kigali?,Location: Mount Kigali Trail offers great city views (2-3 hour hike). Details: Mount Kigali Trail offers great city views (2-3 hour hike). (2025 info)
hyperlocal,Where would I find local hair braiding salon?,"In Rwanda, beauté noire in nyamirambo for traditional styles."
history,Where would I find colonial periods in rwanda?,Location: German (1897-1916) then Belgian rule until 1962 independence. Details: German (1897-1916) then Belgian rule until 1962 independence.
sports,Volcano hiking in Rwanda?,"Location: Location: Mount Bisoke (3,711m) is 3-5 hour hike from base. Details: Location: Mount Bisoke (3,711m) is 3-5 hour hike from base. Details: Mount Bisoke (3,711m) is 3-5 hour hike from base."
hyperlocal,Where would I find best chapati in nyamirambo?,"In Rwanda, café de nyamirambo makes fluffy chapatis for 500 rwf."
business,Can you tell me stock exchange?,"In Rwanda, rwanda stock exchange has 10+ listed companies. (2025 info)"
business,Where to register a company in Rwanda in Rwanda?,"In Rwanda, rwanda development board (rdb) one stop center. (2025 info)"
education,Can you tell me where to learn kinyarwanda in rwanda?,Location: Location: University of Rwanda's Language Centre offers courses. Details: Location: University of Rwanda's Language Centre offers courses. Details: University of Rwanda's Language Centre offers courses.
business,Can you tell me co-working spaces?,Location: Location: Norrsken House Kigali and The Office. Details: Location: Norrsken House Kigali and The Office. Details: Norrsken House Kigali and The Office.
seasonal,Where would I find can you tell me seasonal festivals?,"In Rwanda, umuganura (aug) - harvest, kwita izina (sep) - gorilla naming."
history,Can you tell me ancient rwandan currency?,Used barter system; later cowrie shells and hoes. (2025 info)
tourism,Where would I find best place to see mountain gorillas?,Volcanoes National Park in Musanze offers gorilla trekking. (2025 info)
business,Can you tell me can you tell me corporate tax rate?,"Location: In Rwanda, 30% for large companies, 0-20% for small businesses. Details: In Rwanda, 30% for large companies, 0-20% for small businesses."
language,Where would I find how are you?,Amakuru? (response: Ni meza)
hyperlocal,Where would I find hidden gem restaurant?,"In Rwanda, location: taj mahal in remera for indian-rwandan fusion. details: taj mahal in remera for indian-rwandan fusion."
transport,Can you tell me can you tell me speed limits in rwanda?,"In Rwanda, location: 50km/h cities, 80km/h highways, strictly enforced. details: 50km/h cities, 80km/h highways, strictly enforced."
language,Where would I find i don't understand?,Sinumva.
education,Where would I find is education free in rwanda?,"In Rwanda, primary education is free in public schools."
new_developments,Can you tell me latest startup hub?,"In Rwanda, location: klab moved to new larger premises in 2025. details: klab moved to new larger premises in 2025."
services,Where would I find sim card for tourists?,"In Rwanda, mtn or airtel - need passport at airport or shops. (2025 info)"
history,Royal palace location?,Location: Location: Nyanza was historic seat of Rwandan kings. Details: Location: Nyanza was historic seat of Rwandan kings. Details: Nyanza was historic seat of Rwandan kings.
hyperlocal,Where would I find cheapest brochettes in kigali in kigali?,Brochetterie du Quartier in Kimironko (800 RWF).
transport,Can you tell me night buses in kigali?,"In Rwanda, location: no intercity buses operate after 8pm typically. details: no intercity buses operate after 8pm typically."
history,Where would I find pre-colonial kingdoms in Rwanda?,Location: Kingdom of Rwanda ruled from 15th century to 1961. Details: Kingdom of Rwanda ruled from 15th century to 1961. (2025 info)
history,Where would I find 1994 genocide memorials?,"In Rwanda, kigali genocide memorial is main site (gisozi). (2025 info)"
business,Can you tell me business incubators?,"In Rwanda, location: klab and impact hub kigali support startups. details: klab and impact hub kigali support startups."
history,Can you tell me how is the 1994 genocide taught?,In schools through official curriculum emphasizing unity and reconciliation. (2025 info)
business,Where would I find business license cost?,"In Rwanda, in rwanda, depends on sector - from 50,000 rwf for small business."
education,Where would I find where to study computer science in Rwanda?,"In Rwanda, in rwanda, university of rwanda's college of science and technology in nyarugenge."
language,Can you tell me where is...?,"In Rwanda, location: he. details: he...? (e.g., he hoteli? = where is the hotel?)"
services,SIM card for tourists in Kigali?,MTN or Airtel - need passport at airport or shops. (2025 info)
seasonal,Where would I find where would i find best rainy season activity?,Museum visits in Kigali or hot springs at Lake Kivu. (2025 info)
services,Where would I find where to print documents?,Copy shops near universities and business districts. (2025 info)
services,Public toilets in Kigali?,"Location: In Rwanda, in shopping malls and petrol stations - carry tissues. Details: In Rwanda, in shopping malls and petrol stations - carry tissues."
healthcare,Where would I find 24-hour pharmacy in kigali in rwanda?,"In Rwanda, king faisal hospital pharmacy operates 24/7."
history,Can you tell me umuganura festival in kigali?,"In Rwanda, location: traditional harvest festival celebrated august 1st. details: traditional harvest festival celebrated august 1st."
healthcare,Can you tell me best hospital in kigali?,"In Rwanda, king faisal hospital is the top private facility."
history,Where would I find umuganura festival in Rwanda?,Traditional harvest festival celebrated August 1st. (2025 info) (2025 info)
seasonal,Can you tell me temperature range december?,Location: Kigali: 18-28°C; higher altitudes cooler at night. Details: Kigali: 18-28°C; higher altitudes cooler at night.
business,Where would I find where would i find top local companies?,"Location: In Rwanda, mtn rwanda, bralirwa, and crystal ventures ltd. Details: In Rwanda, mtn rwanda, bralirwa, and crystal ventures ltd."
language,Where would I find please?,"Location: In Rwanda, nyamuneka. Details: In Rwanda, nyamuneka."
healthcare,Mental health services in Rwanda in Kigali?,"In Rwanda, ndera neuropsychiatric hospital specializes in mental health."
language,Where would I find can you tell me hello in kinyarwanda?,Muraho (formal) or Bite (informal).
seasonal,Where would I find road conditions during rains?,"In Rwanda, some rural roads flood - check with locals before trips. (2025 info)"
seasonal,Rainy season trekking tips in Rwanda?,Location: Pack waterproof gear - trails get muddy Mar-May & Oct-Nov. Details: Pack waterproof gear - trails get muddy Mar-May & Oct-Nov. (2025 info)
sports,Where would I find football academies?,APR FC Academy trains youth players. (2025 info)
new_developments,Can you tell me what is kigali innovation city in rwanda?,"Tech hub under construction in Gasaro, will host Carnegie Mellon Africa. (2025 info) (2025 info)"
sports,Can you tell me marathons in kigali?,"In Rwanda, kigali international peace marathon every may."
education,Can you tell me stem programs for girls?,Location: Girls in ICT initiative by RDB and Andela Rwanda. Details: Girls in ICT initiative by RDB and Andela Rwanda.
hyperlocal,Where would I find where would i find best view of kigali?,"In Rwanda, top floor of kigali city tower observation deck. (2025 info)"
healthcare,Where would I find where would i find public hospitals in rwanda?,CHUK (Central Hospital Kigali) and district hospitals. (2025 info)
accommodation,Can you tell me lake kivu resorts?,Lake Kivu Serena Hotel in Rubavu has lake views. (2025 info)
education,Technical schools in Rwanda in Rwanda?,Location: Location: IPRCs (Integrated Polytechnic Regional Colleges) across the country. Details: Location: IPRCs (Integrated Polytechnic Regional Colleges) across the country. Details: IPRCs (Integrated Polytechnic Regional Colleges) across the country.
tourism,Where would I find where would i find top cultural village to visit?,"In Rwanda, iby'iwacu cultural village near volcanoes np shows traditional rwandan life."
tourism,Where would I find what's special about nyungwe forest?,Location: Location: Home to chimpanzees and East Africa's only canopy walk (160m long). Details: Location: Home to chimpanzees and East Africa's only canopy walk (160m long). Details: Home to chimpanzees and East Africa's only canopy walk (160m long).
transport,Where would I find night buses in rwanda?,"In Rwanda, no intercity buses operate after 8pm typically."
new_developments,Where would I find where would i find latest tech campus?,Location: Norrsken Kigali House expansion completed 2024. Details: Norrsken Kigali House expansion completed 2024.
education,Where would I find best coding bootcamp in Kigali?,Location: Location: ALX Rwanda offers 12-month software engineering programs. Details: Location: ALX Rwanda offers 12-month software engineering programs. Details: ALX Rwanda offers 12-month software engineering programs.
healthcare,Can you tell me where would i find where to buy prescription drugs?,"In Rwanda, pharmacies like kim pharmacy require doctor's prescription."
history,Current relations with neighbors?,Rwanda maintains diplomatic relations with all neighboring countries. (2025 info)
new_developments,Where would I find latest startup hub?,kLab moved to new larger premises in 2025. (2025 info)
services,Can you tell me can you tell me laundry services?,"In Rwanda, many guesthouses offer or try washry in kimihurura."
language,Can you tell me where would i find numbers 1-5?,"Rimwe, kabiri, gatatu, kane, gatanu. (2025 info)"
seasonal,When to see migratory birds in Rwanda?,"In Rwanda, november-april in akagera national park. (2025 info)"
history,Can you tell me how to discuss genocide respectfully?,Avoid graphic details; focus on resilience and rebuilding. (2025 info)
transport,Can you tell me domestic flights?,Akol Aviation flies Kigali-Kamembe (Lake Kivu). (2025 info) (2025 info)
hyperlocal,Where to hear live Rwandan music in Rwanda in Kigali?,"In Rwanda, repub lounge in kimihurura on weekends. (2025 info)"
language,Thank you in Kigali?,Murakoze (singular) or Murakoze cyane (many thanks).
new_developments,Where would I find can you tell me new tourism initiative?,Location: 'Visit Rwanda' now includes community-based tourism trails. Details: 'Visit Rwanda' now includes community-based tourism trails.
tourism,Where would I find can i do a safari in rwanda in rwanda?,"In Rwanda, yes, akagera national park has lions, elephants and 500+ bird species."
hyperlocal,Can you tell me where to buy fresh passion fruit in rwanda?,"In Rwanda, early morning at kimironko market stalls. (2025 info)"
sports,Volcano hiking?,"Location: Location: Mount Bisoke (3,711m) is 3-5 hour hike from base. Details: Location: Mount Bisoke (3,711m) is 3-5 hour hike from base. Details: Mount Bisoke (3,711m) is 3-5 hour hike from base."
new_developments,Can you tell me where would i find recent transport upgrades?,"In Rwanda, in rwanda, new electric buses launched on kigali-gasabo route in 2025."
hyperlocal,Best milk bar in Rwanda?,"In Rwanda, in rwanda, inyange shop near remera taxi park."
business,Can you tell me import taxes?,"In Rwanda, varies by product - check rra (rwanda revenue authority). (2025 info)"
language,Where would I find how much?,Ni bangahe? (2025 info)
language,Can you tell me where would i find i don't understand?,"In Rwanda, location: sinumva. details: sinumva."
hyperlocal,Best place to watch sunsets?,Location: Rooftop of The Hut in Kiyovu. Details: Rooftop of The Hut in Kiyovu. (2025 info)
accommodation,Where would I find budget hostels in kigali?,Location: Discover Rwanda Youth Hostel from $10/night. Details: Discover Rwanda Youth Hostel from $10/night. (2025 info)
sports,Golf courses?,"In Rwanda, kigali golf club (18 holes) and gorilla golf club in musanze. (2025 info)"
new_developments,Where would I find latest tech campus?,Location: Norrsken Kigali House expansion completed 2024. Details: Norrsken Kigali House expansion completed 2024. (2025 info)
transport,Where would I find where would i find cross-border buses?,"In Rwanda, jaguar coaches to kampala, trinity to bujumbura."
education,Where would I find scholarships for rwandan students?,"In Rwanda, mastercard foundation scholars program at ur and kepler. (2025 info)"
education,International schools in Kigali in Kigali in Rwanda?,"Location: Green Hills Academy, Kigali International Community School, and École Belge. Details: Green Hills Academy, Kigali International Community School, and École Belge. (2025 info)"
healthcare,Where would I find vaccinations needed in Kigali?,"In Rwanda, in rwanda, yellow fever mandatory; hepatitis a/b, typhoid recommended."
transport,Can you tell me bicycle rentals?,Location: Available in Nyamirambo and near Kimironko Market. Details: Available in Nyamirambo and near Kimironko Market.
tourism,Can you tell me can you tell me what to pack for nyungwe canopy walk?,"Location: Sturdy shoes, rain jacket, and camera - it's 70m above ground!. Details: Sturdy shoes, rain jacket, and camera - it's 70m above ground!"
business,Can you tell me where would i find corporate tax rate?,"In Rwanda, 30% for large companies, 0-20% for small businesses."
services,Where would I find lost property?,"Location: In Rwanda, check with local authorities or establishment last visited. Details: In Rwanda, check with local authorities or establishment last visited."
education,Can you tell me where would i find international schools in kigali?,"Green Hills Academy, Kigali International Community School, and École Belge. (2025 info) (2025 info)"
transport,Domestic flights?,"In Rwanda, akol aviation flies kigali-kamembe (lake kivu). (2025 info)"
language,Can you tell me can you tell me sorry,Location: Mbabarira. Details: Mbabarira.
services,Police stations?,"In Rwanda, in rwanda, each sector has one - main is in remera, kigali."
history,Where would I find traditional kingdoms in kigali?,"In Rwanda, location: rwanda and neighboring burundi were linked kingdoms. details: rwanda and neighboring burundi were linked kingdoms."
seasonal,Where would I find rainy season trekking tips?,Location: Location: Pack waterproof gear - trails get muddy Mar-May & Oct-Nov. Details: Location: Pack waterproof gear - trails get muddy Mar-May & Oct-Nov. Details: Pack waterproof gear - trails get muddy Mar-May & Oct-Nov.
sports,Can you tell me national stadium in kigali?,"In Rwanda, amahoro stadium hosts football matches (25,000 capacity)."
healthcare,Can you tell me where would i find emergency number?,"Dial 112 for police, 912 for medical emergencies. (2025 info) (2025 info)"
hyperlocal,Can you tell me can you tell me where locals buy fabric?,Location: Sopetrade in Nyabugogo Market has best kitenge selection. Details: Sopetrade in Nyabugogo Market has best kitenge selection.
services,Visa extensions in Rwanda?,Location: At Directorate General of Immigration in Kimihurura. Details: At Directorate General of Immigration in Kimihurura. (2025 info)
tourism,Can you tell me where to see traditional intore dance?,"In Rwanda, at the kandt house museum in kigali or during festivals. (2025 info)"
history,Can you tell me first president?,"In Rwanda, location: grégoire kayibanda (1962-1973). details: grégoire kayibanda (1962-1973)."
tourism,Can you tell me where to see golden monkeys?,Location: Also in Volcanoes National Park - cheaper than gorilla permits. Details: Also in Volcanoes National Park - cheaper than gorilla permits. (2025 info)
tourism,Can kids do gorilla trekking in Rwanda?,Minimum age is 15 for gorilla permits. (2025 info)
services,Laundry services?,Location: Many guesthouses offer or try Washry in Kimihurura. Details: Many guesthouses offer or try Washry in Kimihurura.
history,Where would I find are there survivor organizations?,"In Rwanda, ibuka and aerg support survivors through various programs."
sports,Where would I find national stadium?,"Location: Amahoro Stadium hosts football matches (25,000 capacity). Details: Amahoro Stadium hosts football matches (25,000 capacity). (2025 info)"
tourism,Can you tell me what to pack for nyungwe canopy walk in rwanda?,"Location: Sturdy shoes, rain jacket, and camera - it's 70m above ground!. Details: Sturdy shoes, rain jacket, and camera - it's 70m above ground!"
hyperlocal,Local hair braiding salon in Rwanda?,"In Rwanda, location: beauté noire in nyamirambo for traditional styles. details: beauté noire in nyamirambo for traditional styles."
education,Can you tell me best medical school in Kigali?,"In Rwanda, in rwanda, university of rwanda's college of medicine and health sciences."
seasonal,Where would I find where would i find seasonal festivals?,"Location: Location: Umuganura (Aug) - harvest, Kwita Izina (Sep) - gorilla naming. Details: Location: Umuganura (Aug) - harvest, Kwita Izina (Sep) - gorilla naming. Details: Umuganura (Aug) - harvest, Kwita Izina (Sep) - gorilla naming."
tourism,Where would I find can you tell me best hiking trail near kigali?,Location: Mount Kigali Trail offers great city views (2-3 hour hike). Details: Mount Kigali Trail offers great city views (2-3 hour hike).
business,Where to register a company in Rwanda?,Rwanda Development Board (RDB) One Stop Center. (2025 info) (2025 info)
tourism,Top cultural village to visit?,Location: Location: Iby'Iwacu Cultural Village near Volcanoes NP shows traditional Rwandan life. Details: Location: Iby'Iwacu Cultural Village near Volcanoes NP shows traditional Rwandan life. Details: Iby'Iwacu Cultural Village near Volcanoes NP shows traditional Rwandan life.
services,Can you tell me public toilets?,In shopping malls and petrol stations - carry tissues. (2025 info)
transport,Where would I find bicycle rentals?,Location: Available in Nyamirambo and near Kimironko Market. Details: Available in Nyamirambo and near Kimironko Market. (2025 info)
services,Where would I find where would i find visa extensions?,Location: At Directorate General of Immigration in Kimihurura. Details: At Directorate General of Immigration in Kimihurura. (2025 info)
healthcare,Where would I find health insurance requirements?,Location: Mandatory for foreigners - RAMA or private insurance. Details: Mandatory for foreigners - RAMA or private insurance. (2025 info)
seasonal,Can you tell me can you tell me when are gorillas easiest to spot?,Location: Dry season when they stay lower in the forests. Details: Dry season when they stay lower in the forests.
seasonal,Nyungwe Forest in April?,Location: Location: Lush but leeches present - wear leech socks. Details: Location: Lush but leeches present - wear leech socks. Details: Lush but leeches present - wear leech socks.
accommodation,Can you tell me eco-lodges near volcanoes np in rwanda?,Location: Bisate Lodge (luxury) or Red Rocks Rwanda (budget). Details: Bisate Lodge (luxury) or Red Rocks Rwanda (budget). (2025 info)
sports,Where would I find rwanda premier league teams?,"In Rwanda, apr fc, rayon sports and kiyovu sc are top clubs."
services,Where would I find where to pay bills?,"In Rwanda, in rwanda, at banks, online via irembo, or mobile money."
hyperlocal,Can you tell me best place to watch sunsets in rwanda?,Rooftop of The Hut in Kiyovu. (2025 info)
tourism,Can you tell me best time to visit rwanda?,"In Rwanda, june-september (dry season) for gorilla trekking and hiking."
business,Can you tell me major banks in Kigali?,"Location: Location: Bank of Kigali, Equity Bank, and Access Bank. Details: Location: Bank of Kigali, Equity Bank, and Access Bank. Details: Bank of Kigali, Equity Bank, and Access Bank."
education,STEM programs for girls in Kigali?,Girls in ICT initiative by RDB and Andela Rwanda.
tourism,Can you tell me where would i find best time to visit rwanda?,June-September (dry season) for gorilla trekking and hiking. (2025 info)
language,Where would I find can you tell me what's your name?,Location: Witwa nde?. Details: Witwa nde?
hyperlocal,Best milk bar in Kigali?,"In Rwanda, location: inyange shop near remera taxi park. details: inyange shop near remera taxi park."
accommodation,Can you tell me camping in akagera?,"Yes, Ruzizi Tented Lodge and campsites inside park. (2025 info) (2025 info)"
history,Where would I find can i visit genocide sites?,"Yes, with respect - Nyamata and Murambi are preserved memorials."
history,Where would I find royal palace location in rwanda?,Location: Nyanza was historic seat of Rwandan kings. Details: Nyanza was historic seat of Rwandan kings.
new_developments,New tourism initiative?,Location: 'Visit Rwanda' now includes community-based tourism trails. Details: 'Visit Rwanda' now includes community-based tourism trails. (2025 info)
sports,Where would I find can you tell me swimming pools?,Location: Kigali Serena and Cercle Sportif have public pools. Details: Kigali Serena and Cercle Sportif have public pools.
healthcare,Can you tell me pediatric hospitals?,Location: KFH and CHUK both have pediatric wings. Details: KFH and CHUK both have pediatric wings. (2025 info)
transport,Where would I find can you tell me moto-taxi safety tips?,"In Rwanda, always wear helmet, agree on fare first (~500-2000 rwf). (2025 info)"
hyperlocal,Best chapati in Nyamirambo in Rwanda?,"In Rwanda, in rwanda, café de nyamirambo makes fluffy chapatis for 500 rwf."
seasonal,Can you tell me seasonal price changes?,Location: Location: Hotels 20-30% cheaper in rainy season (Mar-May). Details: Location: Hotels 20-30% cheaper in rainy season (Mar-May). Details: Hotels 20-30% cheaper in rainy season (Mar-May).
accommodation,Pet-friendly hotels?,Location: Kigali Marriott allows pets with prior notice. Details: Kigali Marriott allows pets with prior notice. (2025 info)
history,Can you tell me post-genocide justice process?,Used Gacaca community courts to try 1.9 million cases.
business,Mobile money usage in Rwanda?,"In Rwanda, location: 90% penetration - mtn momo and airtel money dominate. details: 90% penetration - mtn momo and airtel money dominate."
new_developments,Newest museum in Rwanda in Rwanda?,"In Rwanda, in rwanda, rwanda art museum relocated to former presidential palace in 2024."
sports,Where would I find basketball teams?,"In Rwanda, location: patriots bbc represents rwanda in fiba africa. details: patriots bbc represents rwanda in fiba africa."
accommodation,Can you tell me can you tell me long-term apartment rentals?,"In Rwanda, check kigali heights or kbc area for 1-3 month leases. (2025 info)"
history,Where would I find what caused the genocide?,Location: Complex colonial legacy and political extremism led to the tragedy. Details: Complex colonial legacy and political extremism led to the tragedy.
tourism,Where to see traditional Intore dance in Rwanda?,Location: At the Kandt House Museum in Kigali or during festivals. Details: At the Kandt House Museum in Kigali or during festivals. (2025 info)
accommodation,Where would I find luxury hotels in kigali in kigali?,"In Rwanda, kigali marriott ($200+) and serena hotel ($150+)."
education,Where to learn Kinyarwanda in Kigali?,University of Rwanda's Language Centre offers courses.
transport,Cross-border buses?,"In Rwanda, jaguar coaches to kampala, trinity to bujumbura."
healthcare,Where would I find where would i find malaria risk in rwanda?,"Location: Present - use prophylaxis and mosquito nets, especially in rural areas. Details: Present - use prophylaxis and mosquito nets, especially in rural areas."
transport,Bus from Kigali to Musanze?,Volcano Express takes 2.5hrs (~3000 RWF). (2025 info)
seasonal,Can you tell me where would i find lake kivu best season?,Location: June-August for calm waters and swimming. Details: June-August for calm waters and swimming.
language,Can you tell me where would i find sorry?,"In Rwanda, mbabarira."
new_developments,Can you tell me where would i find new university programs?,Location: Location: UR launched AI degree program in 2024. Details: Location: UR launched AI degree program in 2024. Details: UR launched AI degree program in 2024.
